Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171126174341,91,-53,432,100,397,239,-55,-46,-61,-63
20171126174341,82,-66,456,96,397,236,-55,-461,-61,-63
20171126174342,91,-58,436,102,397,243,-55,-46,-61,-63
20171126174343,90,-58,439,100,394,243,-55,-46,-61,-63
20171126174344,101,-5,388,107,399,245,-55,-45,-61,-63
20171126174344,93,1,392,96,403,245,-55,-450,-60,-63
20171126174345,86,-60,447,96,394,239,-55,-450,-60,-63
20171126174345,100,-5,390,102,397,245,-55,-45,-60,-63
20171126174346,95,-35,412,100,399,241,-55,-45,-60,-63
20171126174348,89,-45,427,96,401,245,-53,-446,-56,-57
20171126174348,87,-52,432,98,403,243,-53,-447,-57,-57
20171126174350,95,-46,419,105,401,241,-53,-44,-57,-57
20171126174350,92,-44,421,100,401,243,-53,-45,-57,-57
20171126174351,92,-44,421,100,401,241,-53,-45,-57,-57
20171126174352,93,-46,421,102,401,247,-53,-45,-57,-57
20171126174352,92,-49,425,102,401,239,-53,-45,-57,-57
20171126174353,95,-32,410,100,399,239,-53,-45,-57,-57
20171126174354,99,-26,403,102,394,236,-53,-45,-57,-57
20171126174355,95,-32,410,100,399,239,-53,-45,-57,-57
20171126174355,94,-33,412,98,399,239,-53,-427,-57,-57
20171126174356,96,-34,410,102,399,243,-53,-42,-57,-57
20171126174356,95,-30,408,100,401,241,-53,-42,-57,-57
20171126174357,97,-39,412,105,399,236,-53,-42,-57,-57
20171126174358,98,-43,416,105,394,239,-53,-42,-57,-60
20171126174358,92,-44,421,100,401,243,-53,-42,-57,-60
20171126174359,96,-30,408,100,399,241,-53,-45,-57,-60
20171126174359,97,-31,405,105,403,236,-53,-45,-57,-60
20171126174400,94,-32,410,100,401,236,-53,-45,-57,-60
20171126174401,96,-34,410,102,399,239,-53,-45,-57,-60
20171126174401,98,-37,410,105,399,241,-53,-45,-57,-60
20171126174402,97,-37,410,105,401,241,-53,-45,-57,-60
20171126174402,97,-34,410,102,397,243,-53,-45,-57,-60
20171126174403,97,-41,414,105,399,239,-53,-45,-57,-60
20171126174404,96,-43,416,105,399,239,-53,-45,-57,-60
20171126174404,97,-26,403,102,401,243,-53,-45,-57,-60
20171126174405,100,-33,405,107,399,236,-53,-45,-57,-60
20171126174405,103,-9,388,109,397,239,-47,-45,-57,-60
20171126174407,105,-43,408,113,390,243,-49,-45,-57,-50
20171126174407,125,-34,384,133,375,254,-49,-45,-64,-50
20171126174408,140,-35,375,144,355,274,-49,-53,-64,-57
20171126174409,148,-43,371,158,355,272,-49,-53,-59,-57
20171126174409,141,38,335,151,357,267,-49,-52,-58,-57
20171126174410,150,10,340,158,350,267,-48,-55,-56,-55
