Oficina ZigZag calibration

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171127220429,53,92,120,987,535,864,-53,-65,-65,-64
20171127220429,46,95,120,990,542,869,-57,-65,-65,-64
20171127220431,42,96,113,985,546,862,-57,-65,-80,-64
20171127220432,44,97,118,987,544,873,-57,-65,-80,-61
20171127220432,44,95,113,985,544,864,-57,-65,-80,-61
20171127220433,41,96,118,990,546,860,-57,-65,-80,-61
20171127220434,24,104,136,1009,557,878,-57,-65,-80,-61
20171127220435,15,130,155,985,568,871,-46,-655,-805,-615
20171127220436,8,108,142,1018,566,873,-46,-65,-805,-615
20171127220436,31,121,159,996,552,871,-46,-655,-805,-615
20171127220437,46,94,118,990,542,869,-46,-655,-615,-615
20171127220437,49,92,109,981,539,869,-46,-725,-615,-615
20171127220438,44,95,111,983,544,869,-46,-705,-615,-615
20171127220439,51,95,116,981,537,878,-46,-705,-615,-615
20171127220439,53,92,113,981,535,873,-46,-705,-615,-615
20171127220440,44,98,116,983,544,871,-53,-705,-615,-615
20171127220440,49,96,116,981,539,871,-53,-705,-615,-725
20171127220441,49,92,113,985,539,875,-53,-705,-615,-725
20171127220442,49,92,111,983,539,866,-53,-705,-615,-705
20171127220442,51,96,116,978,537,869,-53,-705,-615,-705
20171127220443,50,100,120,978,539,862,-53,-705,-615,-705
20171127220444,51,112,131,965,539,847,-53,-705,-615,-645
20171127220444,6,158,164,946,590,0,-53,-655,-615,0
20171127220445,28,151,159,941,568,827,-53,-655,-615,-645
20171127220445,47,146,164,941,548,814,-53,-655,-615,-645
20171127220446,40,149,164,941,555,820,-50,-655,-615,-645
20171127220447,40,149,164,941,555,825,-50,-655,-615,-645
20171127220447,40,150,166,941,555,820,-48,-655,-615,-645
20171127220448,36,153,162,935,561,823,-48,-655,-555,-645
20171127220448,46,149,164,935,550,818,-48,-655,-555,-645
20171127220449,54,152,168,928,544,807,-48,-655,-555,-645
20171127220450,49,169,186,919,552,801,-57,-655,-555,-625
20171127220450,54,171,188,913,548,796,-57,-655,-555,-625
20171127220451,63,168,186,910,539,792,-57,-655,-605,-585
20171127220453,58,171,190,913,544,792,-57,-745,-615,-585
20171127220453,57,168,188,917,544,796,-57,-745,-645,-585
20171127220454,49,171,188,917,552,798,-57,-745,-645,-585
