Oficina test

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4

20171127222541,60,103,129,972,530,855,-60,-795,-575,-61
20171127222542,57,104,133,976,533,862,-60,-795,-575,-61
20171127222543,52,102,127,978,537,864,-52,-795,-575,-61
20171127222544,56,100,131,981,533,864,-52,-795,-575,-61
20171127222544,56,93,122,985,533,871,-52,-715,-575,-61
20171127222545,54,97,122,981,535,862,-52,-715,-745,-61
20171127222545,52,99,124,981,537,864,-52,-715,-745,-61
20171127222546,56,98,124,978,533,864,-52,-715,-745,-61
20171127222547,56,95,120,981,533,871,-52,-715,-685,-61
20171127222548,31,152,168,946,563,827,-52,-715,-685,-61
20171127222548,22,158,177,950,570,820,-52,-715,-685,-61
20171127222550,28,149,162,948,566,827,-52,-715,-585,-69
20171127222550,51,154,173,932,546,807,-52,-715,-585,-69
20171127222551,36,161,168,926,563,803,-67,-715,-585,-69
20171127222551,36,163,173,926,563,803,-67,-715,-555,-69
20171127222552,41,159,171,928,557,794,-67,-715,-555,-69
20171127222553,38,174,186,919,563,790,-67,-715,-555,-69
20171127222553,42,195,214,906,563,787,-54,-715,-555,-69
20171127222554,47,200,217,895,561,759,-54,-715,-555,-69
20171127222554,45,201,219,897,563,759,-54,-685,-515,-67
20171127222555,40,207,226,897,568,759,-54,-685,-515,-67
20171127222556,47,200,217,895,561,757,-54,-685,-515,-67
20171127222556,45,204,223,895,563,755,-54,-685,-515,-67
20171127222557,54,223,245,875,561,746,-54,-615,-515,-67
20171127222558,61,227,247,864,557,730,-54,-615,-585,-67
20171127222558,48,238,256,864,572,721,-55,-615,-555,-67
20171127222559,56,232,252,864,563,726,-55,-615,-555,-67
20171127222559,50,243,261,858,572,721,-55,-615,-555,-67
20171127222600,47,256,269,845,581,708,-61,-615,-615,-67
20171127222601,45,255,267,845,583,702,-61,-615,-615,-67
20171127222602,54,269,280,827,581,693,-61,-615,-555,-67
20171127222602,54,272,287,829,581,691,-61,-615,-545,-67
20171127222603,56,278,291,820,583,684,-51,-615,-545,-67
20171127222604,56,277,294,825,581,684,-51,-615,-545,-67
20171127222604,56,278,294,823,581,687,-51,-615,-545,-67
20171127222606,54,299,316,807,592,656,-57,-615,-545,-67
20171127222606,65,301,322,801,583,651,-57,-615,-545,-67
20171127222607,60,302,320,801,588,649,-52,-655,-545,-67
20171127222607,66,302,320,798,583,651,-57,-725,-705,-71
