Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

data = Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4


20171116002255,146,74,316,168,355,234,-57,-53,-52,-61
20171116002255,94,90,359,133,408,221,-57,-53,-52,-61
20171116002257,43,65,410,78,456,254,-57,-452,-62,-69
20171116002258,71,-30,423,83,434,267,-72,-442,-62,-69
20171116002258,48,55,414,76,447,267,-72,-432,-62,-69
20171116002259,33,69,421,78,465,232,-61,-429,-69,-66
20171116002259,33,74,419,83,465,239,-59,-409,-69,-66
20171116002301,37,66,427,81,454,232,-60,-429,-69,-64
20171116002301,40,58,423,74,454,236,-60,-429,-69,-64
20171116002302,36,64,427,78,456,234,-60,-129,-69,-60
20171116002303,37,67,425,81,456,234,-48,-115,-65,-60
20171116002303,35,60,425,72,460,239,-48,-405,-65,-62
20171116002304,34,60,430,74,458,243,-50,-115,-65,-62
20171116002304,33,61,425,72,462,245,-50,-115,-65,-62
20171116002305,38,62,423,76,456,241,-50,-385,-65,-62
20171116002306,47,62,408,78,452,239,-50,-385,-65,-62
20171116002306,37,62,425,76,456,239,-50,-435,-65,-62
20171116002308,70,59,390,94,427,249,-50,-460,-60,-65
20171116002309,80,51,384,98,416,249,-50,-490,-60,-64
20171116002310,80,53,386,100,416,252,-57,-48,-56,-61
20171116002310,88,58,377,111,408,249,-55,-48,-53,-58
20171116002312,102,66,366,131,394,258,-48,-47,-55,-57
20171116002312,105,45,368,122,392,261,-50,-48,-56,-57
20171116002313,114,21,368,124,386,263,-49,-51,-56,-58
20171116002313,107,53,368,131,390,258,-50,-51,-58,-58
20171116002314,110,61,353,129,388,263,-47,-51,-52,-58
20171116002315,113,45,359,129,384,263,-46,-51,-52,-58
20171116002316,146,19,342,162,359,278,-50,-51,-54,-58
20171116002317,141,55,335,164,359,280,-50,-51,-54,-58
20171116002317,140,70,333,171,359,280,-50,-55,-61,-58
20171116002318,141,74,329,171,359,282,-50,-53,-59,-58
20171116002318,140,77,333,175,359,280,-50,-53,-59,-58
20171116002319,155,58,320,177,346,287,-50,-53,-58,-52
20171116002320,171,62,304,195,331,291,-50,-52,-58,-52
20171116002320,171,71,300,197,331,304,-50,-52,-58,-52
20171116002321,174,73,298,201,329,298,-50,-50,-58,-52
20171116002321,173,62,302,197,329,300,-50,-50,-58,-52
20171116002322,178,58,298,199,324,300,-50,-50,-54,-58
20171116002323,182,66,295,208,322,307,-51,-52,-54,-58
20171116002323,198,47,287,219,307,316,-51,-52,-54,-67
20171116002324,205,53,278,226,300,316,-52,-51,-50,-76
20171116002324,209,50,278,232,298,320,-52,-51,-50,-61
20171116002325,214,30,282,234,295,316,-52,-51,-54,-61
20171116002326,209,55,276,234,298,316,-52,-50,-54,-66
20171116002326,207,49,280,230,300,316,-53,-50,-54,-65
20171116002327,213,45,276,234,294,322,-53,-52,-50,-65
20171116002328,229,44,261,247,276,335,-48,-52,-50,-58
20171116002328,237,46,254,254,269,366,-48,-52,-53,-58
20171116002329,240,59,245,261,267,331,-53,-52,-53,-66
