Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4

20171116213950,379,52,166,403,142,454,-55,-66,-68,-64
20171116213951,375,58,166,405,153,452,-55,-66,-61,-64
20171116213952,376,59,166,408,153,449,-55,-66,-61,-64
20171116213952,376,57,166,405,151,452,-55,-63,-61,-64
20171116213954,375,57,166,403,151,452,-58,-63,-61,-64
20171116213954,377,54,166,403,146,449,-58,-63,-61,-64
20171116213955,372,54,171,403,155,449,-58,-64,-61,-64
20171116213955,376,60,162,403,149,449,-58,-64,-61,-64
20171116213956,374,59,166,405,155,452,-58,-64,-60,-64
20171116213957,375,55,168,405,151,449,-58,-64,-60,-65
20171116213957,377,56,166,405,149,452,-59,-64,-64,-65
20171116213958,376,57,166,405,151,452,-58,-64,-60,-65
20171116213959,378,49,171,405,146,454,-58,-64,-60,-65
20171116214000,374,51,171,403,151,456,-58,-64,-60,-65
20171116214000,400,19,186,416,111,454,-58,-64,-52,-65
20171116214001,409,4,197,425,100,467,-60,-64,-52,-67
20171116214002,392,19,190,419,129,469,-60,-64,-52,-62
20171116214003,387,22,188,412,131,474,-60,-66,-52,-65
20171116214003,393,31,179,414,124,478,-60,-66,-52,-63
20171116214004,386,33,179,405,129,478,-60,-63,-56,-68
20171116214005,393,32,177,410,120,487,-60,-63,-55,-65
20171116214006,390,24,184,408,122,480,-53,-63,-59,-65
20171116214006,392,21,186,410,120,484,-53,-63,-59,-65
20171116214007,391,27,181,408,120,476,-53,-63,-59,-65
20171116214008,389,19,190,416,131,467,-53,-63,-59,-66
20171116214008,409,15,188,421,98,474,-53,-63,-597,-67
20171116214009,416,18,184,427,89,467,-53,-63,-607,-67
20171116214009,382,51,175,423,155,467,-53,-63,-60,-67
20171116214010,374,48,173,401,149,452,-53,-63,-60,-67
20171116214011,346,64,179,388,186,430,-58,-63,-59,-67
20171116214011,349,63,175,384,179,425,-50,-63,-59,-62
20171116214012,360,46,175,377,153,425,-51,-75,-59,-64
20171116214013,325,73,181,359,199,408,-51,-75,-61,-65
20171116214014,270,173,190,342,269,403,-51,-95,-61,-55
20171116214015,315,52,195,335,197,390,-56,-59,-62,-55
20171116214015,304,46,205,322,205,388,-56,-59,-62,-55
20171116214016,259,135,212,318,265,379,-56,-57,-57,-55
20171116214017,257,129,217,316,265,379,-56,-57,-56,-56
20171116214017,273,71,221,309,245,371,-56,-56,-56,-56
20171116214018,237,123,234,291,280,366,-49,-57,-56,-56
20171116214019,256,24,252,276,254,350,-49,-57,-56,-67
20171116214019,251,23,256,269,258,348,-57,-58,-56,-67
20171116214020,241,29,261,261,269,344,-56,-58,-68,-63
20171116214021,217,52,274,247,294,324,-54,-56,-64,-63
20171116214022,227,18,276,239,278,324,-54,-56,-55,-63
20171116214022,210,41,278,227,294,313,-54,-55,-61,-62
20171116214023,196,33,295,217,311,318,-49,-55,-61,-56
20171116214023,147,130,320,214,355,304,-49,-58,-64,-56
