Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171126180130,73,-45,436,85,423,241,-51,-431,-61,-57
20171126180130,66,-60,454,87,427,234,-51,-437,-57,-64
20171126180132,79,-56,432,100,425,247,-51,-43,-57,-64
20171126180132,68,53,401,94,425,243,-51,-437,-57,-64
20171126180133,70,52,408,100,421,254,-51,-43,-57,-59
20171126180133,96,-46,412,111,410,249,-55,-43,-57,-59
20171126180134,98,-24,397,109,408,252,-55,-43,-57,-59
20171126180135,98,-46,412,111,405,249,-53,-43,-57,-56
20171126180135,96,56,371,116,401,254,-53,-43,-63,-58
20171126180136,107,60,353,122,392,254,-53,-43,-63,-58
20171126180136,111,57,346,120,388,258,-53,-43,-63,-58
20171126180137,111,53,357,129,386,263,-53,-43,-63,-58
20171126180138,121,33,359,136,379,263,-53,-43,-63,-54
20171126180139,122,39,355,136,377,265,-53,-43,-63,-58
20171126180139,123,-62,412,133,368,263,-54,-53,-63,-58
20171126180140,130,-43,388,137,366,263,-54,-53,-63,-58
20171126180141,133,-38,381,140,366,258,-54,-53,-63,-56
20171126180141,139,8,350,144,359,258,-54,-54,-63,-56
20171126180142,142,4,350,149,359,263,-54,-54,-63,-56
20171126180143,144,0,350,151,357,265,-54,-53,-63,-56
20171126180144,142,-58,384,158,366,276,-54,-53,-63,-54
20171126180144,151,-48,371,164,355,278,-54,-53,-63,-54
20171126180145,156,-57,371,173,355,274,-54,-53,-63,-54
20171126180146,161,-46,362,173,346,285,-54,-53,-63,-54
20171126180146,160,-70,379,179,350,278,-54,-52,-63,-54
20171126180147,163,41,320,184,340,280,-54,-62,-63,-54
20171126180148,172,21,318,184,331,289,-54,-62,-56,-54
20171126180149,172,36,311,186,329,294,-54,-62,-56,-66
20171126180149,178,14,316,190,326,291,-54,-58,-56,-66
20171126180150,181,18,313,197,326,298,-54,-58,-56,-66
20171126180150,184,17,311,201,324,289,-54,-58,-56,-66
20171126180151,187,20,307,204,320,291,-54,-58,-56,-66
20171126180152,202,15,298,221,309,298,-54,-58,-56,-66
20171126180152,200,3,304,217,311,300,-54,-58,-56,-66
20171126180153,203,-25,318,214,304,300,-54,-58,-56,-66
20171126180154,208,-33,320,219,300,304,-54,-58,-56,-66
20171126180154,209,-28,316,219,298,307,-54,-58,-56,-66
20171126180155,208,-8,304,221,300,313,-54,-58,-56,-66
