Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4

20171116073712,86,29,388,96,410,243,-53,-457,-57,-66
20171116073713,84,36,386,94,412,243,-53,-457,-57,-66
20171116073714,82,41,388,96,414,241,-53,-477,-57,-66
20171116073714,90,5,394,96,410,241,-53,-477,-57,-66
20171116073715,82,42,390,98,414,241,-53,-477,-57,-66
20171116073717,89,-2,397,96,412,241,-53,-454,-54,-66
20171116073717,84,32,390,96,412,239,-53,-454,-54,-66
20171116073718,77,42,392,91,419,243,-53,-474,-54,-66
20171116073719,87,32,381,91,408,243,-53,-474,-54,-66
20171116073719,98,25,379,107,399,247,-53,-47,-54,-66
20171116073720,113,40,359,124,384,252,-53,-47,-54,-66
20171116073720,93,100,350,136,414,245,-53,-47,-54,-66
20171116073721,96,97,362,144,403,245,-53,-47,-54,-66
20171116073722,96,114,348,151,412,252,-53,-47,-54,-66
20171116073722,127,73,344,159,371,267,-53,-47,-54,-66
20171116073723,136,84,331,171,364,280,-53,-47,-54,-66
20171116073724,136,116,333,197,362,282,-53,-47,-54,-60
20171116073725,165,83,307,201,337,287,-53,-47,-54,-60
20171116073725,174,78,298,205,329,304,-56,-47,-54,-60
20171116073726,179,115,282,226,329,287,-56,-47,-54,-60
20171116073727,192,101,269,227,316,309,-56,-47,-54,-60
20171116073728,199,110,267,243,311,298,-56,-47,-54,-70
20171116073728,196,121,274,252,313,298,-56,-55,-54,-70
20171116073729,199,126,263,252,313,309,-56,-55,-54,-66
20171116073729,215,131,252,272,300,320,-56,-55,-54,-66
20171116073731,222,117,249,274,291,326,-56,-56,-54,-65
20171116073731,241,87,239,278,272,337,-56,-56,-54,-65
20171116073732,249,87,232,287,265,346,-56,-56,-54,-65
20171116073732,261,88,223,300,256,350,-56,-56,-54,-65
20171116073733,266,86,221,307,252,355,-56,-56,-54,-65
20171116073734,276,88,214,320,245,377,-56,-56,-54,-67
20171116073734,285,86,205,326,236,366,-56,-54,-54,-67
20171116073735,282,100,197,322,239,377,-56,-54,-51,-67
20171116073736,285,81,205,322,234,371,-56,-54,-51,-67
20171116073736,292,86,199,333,230,381,-53,-54,-51,-67
20171116073737,305,70,192,333,212,381,-53,-54,-50,-67
20171116073737,329,69,181,362,195,386,-53,-54,-50,-67
20171116073738,327,71,181,362,197,390,-53,-54,-51,-78
20171116073740,331,62,184,364,192,394,-50,-61,-52,-78
20171116073740,327,66,186,364,199,410,-51,-61,-49,-78
20171116073741,337,70,177,372,190,410,-51,-62,-49,-78
20171116073742,343,65,177,379,184,427,-51,-58,-51,-78
20171116073742,351,63,173,384,175,434,-51,-58,-48,-78
20171116073743,347,68,171,379,179,447,-56,-55,-49,-61
20171116073744,354,63,173,390,175,430,-56,-59,-50,-61
20171116073744,370,55,171,403,158,452,-54,-61,-50,-64
20171116073745,382,0,205,414,144,465,-54,-61,-50,-69
20171116073745,384,-16,214,414,144,465,-54,-61,-50,-69
20171116073746,386,0,204,419,142,465,-58,-61,-52,-70
20171116073747,388,22,188,414,131,493,-58,-61,-52,-70
20171116073748,416,54,155,432,105,460,-58,-61,-48,-70
20171116073748,407,69,151,436,133,471,-58,-61,-48,-70
20171116073749,417,61,153,439,116,462,-58,-61,-44,-70
20171116073750,410,49,158,423,105,460,-58,-61,-42,-70
20171116073750,415,52,159,434,109,460,-58,-65,-42,-70
20171116073751,404,38,173,427,116,460,-59,-62,-48,-70
20171116073751,384,50,175,425,153,456,-59,-62,-48,-70
20171116073752,400,25,181,414,109,456,-59,-62,-48,-70
20171116073753,396,33,175,412,116,449,-59,-61,-46,-70
20171116073753,383,41,175,408,137,447,-59,-61,-46,-70
20171116073754,380,46,173,408,144,445,-59,-58,-46,-68
20171116073754,370,61,164,397,155,421,-59,-58,-54,-68
20171116073755,352,69,166,381,173,410,-54,-55,-50,-58
20171116073756,339,82,164,372,188,405,-64,-55,-50,-58
20171116073756,330,88,164,362,195,384,-64,-55,-51,-57
20171116073757,323,97,164,357,204,372,-64,-55,-51,-55
20171116073757,315,95,168,346,208,372,-48,-57,-53,-55
20171116073758,292,107,177,324,230,359,-50,-61,-55,-55
20171116073759,287,114,177,320,236,344,-49,-61,-48,-55
20171116073759,284,119,179,320,241,335,-49,-58,-48,-65
20171116073800,273,113,195,311,249,322,-49,-58,-50,-69
20171116073801,252,151,204,309,278,309,-49,-58,-50,-56
20171116073801,251,134,204,295,274,295,-54,-58,-53,-56
20171116073802,228,121,230,269,289,280,-52,-58,-48,-56
20171116073802,221,138,227,267,302,267,-52,-58,-48,-56
20171116073803,214,160,227,272,318,261,-55,-58,-49,-56
20171116073804,199,166,254,272,326,245,-55,-57,-53,-56
20171116073804,189,189,252,274,350,234,-55,-57,-53,-56
20171116073805,180,180,258,258,357,217,-62,-61,-53,-52
20171116073805,160,177,272,239,377,197,-54,-61,-53,-52
20171116073806,141,172,309,232,379,186,-54,-60,-53,-53
20171116073807,141,176,304,232,384,177,-54,-55,-49,-53
20171116073807,126,188,322,234,399,158,-54,-55,-49,-53
20171116073808,95,212,331,230,456,151,-54,-62,-49,-53
20171116073809,113,202,322,234,427,144,-61,-61,-52,-53
20171116073810,112,211,311,236,443,133,-61,-61,-53,-53
20171116073810,68,224,379,241,465,122,-61,-64,-53,-52
20171116073811,90,224,344,243,458,109,-50,-61,-53,-52
20171116073811,61,216,384,230,469,87,-50,-61,-54,-471
20171116073812,43,225,379,226,513,81,-46,-54,-66,-461
20171116073813,223,-23,377,0,0,74,-46,0,0,-464
20171116073813,29,240,377,232,550,72,-46,-56,-66,-494
20171116073814,54,215,379,223,487,72,-45,-58,-66,-476
20171116073815,29,225,381,219,539,78,-45,-58,-66,-478
20171116073815,52,207,379,214,487,87,-45,-50,-64,-468
20171116073816,49,240,408,254,480,85,-47,-64,-64,-490
20171116073817,116,245,324,274,443,111,-47,-63,-64,-49
20171116073818,102,283,331,298,491,173,-47,-63,-64,-49
20171116073819,138,274,335,320,416,197,-47,-62,-50,-53
20171116073819,151,238,272,278,425,195,-47,-62,-50,-53
20171116073820,145,236,285,276,423,205,-49,-55,-55,-61
20171116073821,153,237,274,280,419,212,-50,-55,-55,-58
20171116073821,176,218,256,280,384,217,-50,-55,-55,-58
20171116073822,207,209,230,298,348,226,-50,-55,-55,-55
20171116073822,210,216,230,307,348,276,-65,-55,-59,-55
20171116073823,216,227,210,311,362,269,-52,-55,-59,-55
20171116073824,236,229,190,326,348,267,-52,-55,-59,-55
20171116073824,241,231,190,333,342,269,-52,-73,-59,-53
20171116073825,146,60,173,0,335,278,-52,0,-54,-62
