Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4

20171116214420,54,131,399,149,445,142,-59,-54,-56,-64
20171116214421,55,125,399,144,443,144,-59,-51,-56,-64
20171116214422,54,127,401,146,443,142,-59,-51,-56,-69
20171116214423,61,130,392,151,439,140,-59,-51,-56,-69
20171116214423,61,126,390,146,440,140,-59,-52,-56,-69
20171116214425,60,126,392,146,440,137,-59,-52,-56,-69
20171116214425,59,125,394,146,440,140,-59,-52,-56,-69
20171116214427,56,135,390,151,449,133,-59,-52,-56,-69
20171116214427,58,134,394,153,443,137,-59,-52,-56,-77
20171116214428,64,136,390,159,436,144,-59,-54,-56,-77
20171116214429,60,134,401,158,434,146,-59,-54,-56,-77
20171116214429,23,131,465,155,440,162,-59,-54,-56,-77
20171116214430,21,134,469,158,440,151,-59,-54,-56,-71
20171116214431,48,127,432,155,427,149,-59,-48,-56,-71
20171116214431,94,120,364,162,405,168,-59,-48,-56,-64
20171116214432,79,114,419,168,390,175,-54,-48,-56,-64
20171116214433,110,132,357,188,386,190,-54,-48,-56,-64
20171116214433,93,120,410,186,375,190,-57,-50,-56,-64
20171116214434,146,128,316,208,359,204,-57,-50,-56,-64
20171116214434,140,130,342,217,353,217,-57,-50,-56,-64
20171116214435,153,133,322,226,346,230,-57,-50,-56,-64
20171116214436,178,140,285,243,333,234,-48,-50,-56,-64
20171116214437,191,117,282,247,316,254,-48,-50,-56,-65
20171116214437,196,149,280,274,313,261,-48,-50,-56,-65
20171116214439,206,132,256,261,309,263,-54,-67,-56,-65
20171116214439,213,136,247,269,304,267,-54,-67,-58,-65
20171116214440,224,123,243,276,291,291,-54,-67,-58,-65
20171116214441,240,166,227,316,287,295,-54,-67,-58,-65
20171116214441,237,138,223,291,285,300,-54,-67,-58,-65
20171116214443,248,137,212,300,276,295,-54,-59,-60,-65
20171116214444,252,169,186,307,291,289,-54,-59,-60,-65
20171116214445,233,197,188,300,331,278,-54,-59,-60,-65
20171116214445,239,219,186,320,340,272,-54,-59,-60,-57
20171116214446,255,177,188,318,291,261,-54,-59,-60,-57
20171116214447,266,154,186,320,269,267,-54,-66,-60,-63
20171116214447,243,233,186,335,344,263,-45,-58,-60,-65
20171116214448,240,234,186,331,350,263,-45,-58,-48,-65
20171116214448,244,249,184,344,359,256,-46,-58,-50,-65
20171116214449,240,254,190,346,364,258,-46,-58,-50,-59
20171116214450,234,252,195,340,368,252,-47,-58,-50,-59
20171116214450,234,266,205,353,372,258,-49,-58,-55,-64
20171116214451,228,270,201,348,390,258,-49,-60,-54,-64
20171116214451,231,274,199,353,390,252,-49,-60,-54,-64
20171116214452,230,273,205,353,386,254,-49,-60,-53,-64
20171116214453,232,276,204,357,388,254,-49,-60,-53,-64
20171116214453,233,272,197,353,388,247,-50,-57,-55,-64
20171116214454,236,272,192,353,388,252,-50,-59,-57,-64
20171116214455,230,273,204,353,388,249,-50,-59,-57,-64
20171116214456,234,272,195,353,388,252,-50,-59,-57,-64
20171116214456,230,270,212,355,375,249,-50,-59,-61,-64
20171116214458,205,243,256,331,353,241,-47,-58,-61,-66
20171116214458,185,246,285,324,362,249,-47,-58,-61,-66
20171116214459,225,202,214,307,329,247,-47,-58,-61,-58
20171116214459,245,178,195,309,300,265,-60,-58,-57,-53
20171116214500,240,217,188,322,335,274,-60,-59,-57,-53
20171116214502,252,144,197,298,278,272,-59,-59,-54,-54
20171116214502,254,138,195,295,274,289,-55,-55,-54,-55
20171116214503,225,173,204,282,320,294,-55,-58,-51,-55
20171116214504,214,155,223,265,318,291,-55,-58,-51,-57
20171116214504,216,150,223,265,313,294,-55,-56,-51,-57
20171116214505,223,143,219,267,304,313,-55,-56,-63,-57
20171116214506,225,145,219,272,302,307,-55,-56,-63,-57
20171116214506,216,141,226,261,309,311,-55,-54,-61,-57
20171116214507,216,131,232,258,304,313,-55,-54,-61,-57
20171116214507,218,127,234,261,300,443,-55,-54,-60,-59
20171116214508,230,101,230,258,282,324,-55,-54,-60,-59
20171116214509,249,31,252,263,256,337,-52,-54,-60,-55
20171116214510,253,24,252,263,249,397,-52,-54,-60,-54
20171116214510,241,16,267,256,267,350,-62,-53,-60,-58
20171116214511,253,-13,276,265,254,371,-62,-53,-60,-56
20171116214512,263,-40,289,276,247,353,-62,-53,-60,-60
20171116214512,258,-28,285,265,245,331,-51,-53,-60,-54
20171116214513,261,-29,282,274,249,401,-51,-53,-60,-54
20171116214513,262,-26,280,272,245,335,-51,-62,-60,-54
20171116214515,258,-7,269,274,254,412,-51,-62,-60,-54
20171116214515,256,-10,272,269,252,390,-51,-62,-59,-54
20171116214516,262,-19,274,276,249,416,-51,-62,-59,-54
20171116214517,260,-51,302,269,245,350,-51,-62,-60,-57
20171116214518,239,-49,309,254,274,348,-56,-62,-59,-57
20171116214519,236,31,261,249,267,337,-59,-54,-55,-61
20171116214520,242,20,263,256,263,337,-59,-54,-55,-61
20171116214520,236,58,247,254,269,340,-59,-54,-55,-61
20171116214521,240,56,245,256,265,344,-53,-54,-55,-60
20171116214521,250,53,239,267,256,333,-53,-59,-55,-60
20171116214522,258,53,232,272,247,335,-67,-59,-51,-60
20171116214523,252,86,219,276,258,331,-67,-59,-51,-60
20171116214523,233,121,219,269,285,316,-67,-59,-52,-60
20171116214524,233,142,212,278,294,309,-67,-59,-52,-60
20171116214524,231,167,208,289,307,304,-67,-59,-49,-60
20171116214525,224,175,212,287,318,298,-67,-59,-50,-60
20171116214526,214,170,226,278,322,295,-67,-59,-50,-57
20171116214526,209,166,232,272,324,282,-67,-59,-60,-57
20171116214527,202,119,263,252,309,280,-67,-59,-60,-65
20171116214527,192,133,261,243,324,274,-67,-58,-66,-65
20171116214528,156,165,274,226,377,258,-67,-58,-66,-65
20171116214529,112,199,287,214,458,243,-56,-57,-66,-54
20171116214529,132,158,298,204,397,236,-61,-57,-66,-62
20171116214530,83,193,307,192,491,236,-61,-56,-66,-62
20171116214531,100,157,337,188,421,227,-54,-56,-66,-59
20171116214531,117,146,333,195,394,212,-54,-56,-66,-59
20171116214532,78,152,364,175,436,205,-54,-56,-66,-67
20171116214533,66,131,381,151,440,184,-54,-60,-66,-59
20171116214534,34,129,408,136,474,175,-54,-60,-69,-59
20171116214535,27,178,397,177,507,142,-57,-52,-69,-56
20171116214535,20,145,403,142,507,129,-57,-58,-56,-65
20171116214536,16,168,410,166,513,111,-62,-58,-56,-65
20171116214537,25,184,390,179,520,100,-62,-59,-61,-55
20171116214538,12,196,403,190,537,76,-62,-50,-60,-510
20171116214538,12,209,405,204,539,74,-62,-50,-63,-510
20171116214539,14,209,401,204,539,76,-54,-50,-63,-510
20171116214540,12,215,410,212,537,74,-54,-55,-63,-510
20171116214540,15,212,403,208,537,78,-54,-55,-63,-515
20171116214541,12,211,403,205,542,74,-54,-51,-59,-525
20171116214541,9,211,412,208,539,78,-54,-55,-59,-521
20171116214542,14,216,405,212,539,72,-55,-55,-59,-525
20171116214543,16,207,397,201,539,69,-60,-52,-60,-525
20171116214543,18,208,394,201,539,74,-60,-53,-60,-532
20171116214544,13,206,399,199,542,72,-60,-55,-60,-533
20171116214545,13,199,399,192,539,76,-57,-55,-76,-535
20171116214545,24,250,403,249,539,85,-57,-55,-60,-515
20171116214546,29,257,403,258,533,83,-57,-55,-60,-515
20171116214546,19,224,408,223,530,81,-57,-55,-60,-535
